City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,73.0,clear sky,-33.65,115.33,Observatory Guest House
1,Cape Town,ZA,62.01,overcast clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
5,Saint George,US,66.2,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
6,Grado,ES,59.0,few clouds,43.39,-6.07,El reguero de Villamarín
10,Fortuna,US,53.6,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
12,Salalah,OM,69.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
13,Nizip,TR,55.4,clear sky,37.01,37.79,gümüş apart
14,San Quintin,MX,65.14,broken clouds,30.48,-115.95,Old Mill Hotel
17,Port Lincoln,AU,55.04,overcast clouds,-34.73,135.87,Port Lincoln Hotel
18,Jamestown,US,62.6,thunderstorm,42.1,-79.24,Hampton Inn & Suites Jamestown
19,Tezu,IN,69.94,overcast clouds,27.92,96.17,Circuit House
20,Bredasdorp,ZA,64.4,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
22,Bluff,NZ,71.01,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
23,Ribeira Grande,PT,66.72,scattered clouds,38.52,-28.7,Quinta da Meia Eira
24,Carnarvon,AU,77.0,clear sky,-24.87,113.63,Hospitality Carnarvon
27,Inirida,CO,74.86,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
29,Dingle,PH,78.6,light rain,11.0,122.67,Camp Pasica
31,Rosita,NI,74.32,overcast clouds,13.93,-84.4,Colonia Cristo Rey
33,Rikitea,PF,73.96,overcast clouds,-23.12,-134.97,Pension Maro'i
34,Mar Del Plata,AR,59.0,overcast clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
36,Shajapur,IN,77.4,clear sky,23.43,76.27,Raliway station
38,Alta Floresta,BR,71.47,light rain,-9.88,-56.09,Floresta Amazonica Hotel
40,Lompoc,US,62.6,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
42,Sambava,MG,71.89,clear sky,-14.27,50.17,Melrose
44,Papayal,PE,70.39,overcast clouds,-4.08,-80.74,
45,Cidreira,BR,67.95,overcast clouds,-30.18,-50.21,Hotel Castelo
46,Victoria,HK,75.99,overcast clouds,22.29,114.16,Mini Hotel Central
48,Puerto Ayora,EC,69.01,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
49,Bonthe,SL,78.24,light rain,7.53,-12.51,Bonthe Holiday Village
52,San Francisco,US,61.0,few clouds,37.77,-122.42,The Clift Royal Sonesta Hotel
55,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
57,Hobart,AU,55.4,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
62,Alice Springs,AU,73.4,scattered clouds,-23.7,133.88,Desert Palms Alice Springs
63,Port Alfred,ZA,69.62,overcast clouds,-33.59,26.89,The Halyards Hotel
64,Castro,BR,60.93,light rain,-24.79,-50.01,CHACARA BAILLY
66,Namibe,AO,69.3,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
67,Gallup,US,57.2,clear sky,35.53,-108.74,El Capitan Motel
69,Tuatapere,NZ,71.01,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
70,Albany,US,63.0,few clouds,42.6,-73.97,
72,Atuona,PF,78.69,clear sky,-9.8,-139.03,Villa Enata
74,Viedma,AR,60.01,overcast clouds,-40.81,-63.0,Hotel Cristal
75,Balkanabat,TM,50.65,clear sky,39.51,54.37,Nebitchi Hotel
76,San Cristobal,VE,66.51,light rain,7.77,-72.22,Pirineos
81,Santa Maria,BR,65.73,broken clouds,-29.68,-53.81,Hotel Morotin
82,Coquimbo,CL,53.6,scattered clouds,-29.95,-71.34,Hotel San Juan
83,Chuy,UY,61.38,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
84,Skierniewice,PL,55.0,light rain,51.95,20.16,Maraton
85,Kindu,CD,67.19,overcast clouds,-2.95,25.95,Hotel Karibu
87,Calabozo,VE,75.97,broken clouds,8.92,-67.43,Hotel Giardini
89,Lebu,CL,50.09,overcast clouds,-37.62,-73.65,Hostal Las Lilas
93,Mataura,NZ,71.01,broken clouds,-46.19,168.86,Ellie's Villa
94,Yulara,AU,69.8,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
97,Saint-Philippe,RE,75.2,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
98,Vao,NC,73.81,clear sky,-22.67,167.48,Hotel Kou-Bugny
100,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
101,Mapiri,BO,69.04,broken clouds,-15.25,-68.17,
103,Esperance,AU,62.6,overcast clouds,-33.87,121.9,Hospitality Esperance
105,Cedartown,US,70.0,few clouds,34.05,-85.25,Quality Inn
106,Shenjiamen,CN,62.1,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
116,Salvador,SV,78.8,mist,13.83,-88.92,Chico's Ranch
119,Gat,IL,69.01,few clouds,31.61,34.76,OlusHome
120,Port Macquarie,AU,73.0,overcast clouds,-31.43,152.92,Rydges Port Macquarie
125,Frolovo,RU,55.99,light rain,49.77,43.66,Gostinitsa Frolovo
128,Hermanus,ZA,64.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
129,Luangwa,ZM,72.36,overcast clouds,-15.62,30.42,Gerasimos Safari Lodge
130,Gweta,BW,73.24,clear sky,-20.18,25.23,Gweta Lodge
131,Pacifica,US,59.0,mist,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
132,Sena Madureira,BR,74.86,broken clouds,-9.07,-68.66,Hotel Suzani
138,Ponta Do Sol,PT,66.2,scattered clouds,32.67,-17.1,Hotel do Campo
140,Yining,CN,65.34,overcast clouds,29.04,114.56,Xiushui Hotel
141,Bhuj,IN,79.38,clear sky,23.27,69.67,Regenta Resort Bhuj
142,Vila Velha,BR,69.8,broken clouds,-20.33,-40.29,Hotel Vitória Palace
143,East London,ZA,68.5,scattered clouds,-33.02,27.91,Tu Casa
144,Yashan,CN,74.57,overcast clouds,22.2,109.94,
148,Plettenberg Bay,ZA,64.8,broken clouds,-34.05,23.37,Thanda Vista B&B
152,Pacific Grove,US,62.6,clear sky,36.62,-121.92,Lovers Point Inn
154,Kaeo,NZ,68.14,few clouds,-35.1,173.78,Bushido Lodge
155,Tuscaloosa,US,71.6,clear sky,33.21,-87.57,Hampton Inn Tuscaloosa-University
159,New Norfolk,AU,55.4,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
161,Arraial Do Cabo,BR,73.4,scattered clouds,-22.97,-42.03,Pousada Porto Praia
164,Malkara,TR,59.43,clear sky,40.89,26.9,Ütğm Korel Lojmanı
166,Sabha,LY,60.26,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
168,Russell,US,73.4,mist,32.35,-85.2,Macs
169,Cap Malheureux,MU,72.0,broken clouds,-19.98,57.61,Pereybere Hotel & Spa
171,Kutum,SD,70.14,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
173,Kruisfontein,ZA,66.99,scattered clouds,-34.0,24.73,Oyster Bay House Rental
175,Lagoa,PT,66.65,scattered clouds,39.05,-27.98,Casa Das Faias
177,Petatlan,MX,78.3,overcast clouds,17.52,-101.27,Hotel California Petatlán
178,Ozerne,UA,52.77,overcast clouds,50.18,28.73,Polit
179,Bambous Virieux,MU,73.4,scattered clouds,-20.34,57.76,Casa Tia Villa
183,Punta De Piedra,VE,74.59,overcast clouds,7.62,-71.49,Casa 7 Punta de Piedra
184,Khazar,RU,57.36,clear sky,42.0,48.33,Hotel Moryana
185,Aars,DK,51.01,clear sky,56.8,9.51,Aars Hotel
186,Nouadhibou,MR,75.15,overcast clouds,20.93,-17.03,El Medina
191,Kristianstad,SE,50.0,light intensity drizzle,56.03,14.15,First Hotel Christian IV
192,Faya,SA,55.4,clear sky,18.39,42.45,مقبرة ال مجمل
193,Garowe,SO,76.59,overcast clouds,8.41,48.48,Curubo Hotel
195,Avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
200,Qinhuangdao,CN,60.93,clear sky,39.93,119.59,Qinhuangdao Peninsula Seasons Hotel And Apartment
202,Hokitika,NZ,60.46,clear sky,-42.72,170.97,Beachfront Hotel Hokitika
203,Porto Walter,BR,73.0,light rain,-8.27,-72.74,Hotel Silva
204,San-Pedro,CI,75.49,light rain,4.75,-6.64,Hotel Maria
205,Imbituba,BR,71.6,few clouds,-28.24,-48.67,Praia Hotel Imbituba
206,Yinchuan,CN,57.33,broken clouds,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
211,Northam,GB,53.01,overcast clouds,51.03,-4.22,Durrant House Hotel
213,Belmonte,BR,71.6,overcast clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
217,Abonnema,NG,77.0,scattered clouds,4.71,6.79,Corper's Lodge Obonoma
218,Ferme-Neuve,CA,62.28,light rain,46.7,-75.45,Pourvoirie Club Fontbrune Ltee
219,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
221,Flagstaff,US,57.2,clear sky,35.2,-111.65,Drury Inn & Suites Flagstaff
222,Greymouth,NZ,62.22,clear sky,-42.47,171.2,Kingsgate Hotel Greymouth
226,Tiznit,MA,62.06,overcast clouds,29.58,-9.5,
227,Sur,OM,79.43,clear sky,22.57,59.53,Sur Plaza Hotel
231,Tocopilla,CL,61.74,few clouds,-22.09,-70.2,Hotel Galvarino
233,Udaipura,IN,77.49,clear sky,23.08,78.5,Hotel Kanha Palace
234,Waipawa,NZ,66.0,clear sky,-41.41,175.52,Tora Coastal Walk
236,Marau,BR,65.32,overcast clouds,-28.45,-52.2,Hotel Pousada Tordilho Negro
237,Dongli,CN,71.6,clear sky,23.57,116.82,Chenghai Shizhang Donghuaqiao Hostel
238,Beloha,MG,69.78,overcast clouds,-25.17,45.05,
239,Bethel,US,60.01,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
241,Amberley,US,62.01,overcast clouds,39.2,-84.43,"Motel 6 Cincinnati, OH - Central - Norwood"
246,Saldanha,ZA,59.0,few clouds,-33.01,17.94,Blue Bay Lodge
250,Codrington,AU,53.6,broken clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
252,Ariquemes,BR,73.72,light rain,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
253,Port Elizabeth,ZA,68.0,mist,-33.92,25.57,39 On Nile Guest House
255,Naze,JP,73.4,broken clouds,28.37,129.48,奄美ポートタワーホテル
259,Jalu,LY,61.97,clear sky,29.03,21.55,Jalu Hotel
260,Taguatinga,BR,76.53,light rain,-12.39,-46.57,
261,Richards Bay,ZA,66.69,broken clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
262,Quatre Cocos,MU,73.4,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
264,Zarcero,CR,69.8,moderate rain,10.19,-84.39,Rancho Amalia
265,Hasaki,JP,68.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
267,Ancud,CL,51.01,overcast clouds,-41.87,-73.82,Hotel Arena Gruesa
268,Gabu,GW,74.28,scattered clouds,12.28,-14.22,Hotel karsa
270,Hualmay,PE,61.92,overcast clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
271,Nortelandia,BR,74.71,moderate rain,-14.45,-56.8,Hotel Karysmã
275,Mercedes,AR,66.0,broken clouds,-34.65,-59.43,Posada del Inti Centro
278,Wellington,NZ,66.0,scattered clouds,-41.29,174.78,CityLife Wellington
282,Liwale,TZ,68.94,few clouds,-9.77,37.93,Samoma Lodge
289,Cayenne,GF,77.0,clear sky,4.93,-52.33,Hôtel Le Dronmi
291,Kagoro,NG,67.14,overcast clouds,9.6,8.38,Palm Garden Hotel
293,Quthing,LS,64.29,overcast clouds,-30.4,27.7,Mountainside Hotel
296,Seoul,KR,51.8,clear sky,37.57,126.98,LOTTE HOTEL SEOUL
299,Te Anau,NZ,58.86,overcast clouds,-45.42,167.72,Kingsgate Hotel Te Anau
300,Misratah,LY,66.76,clear sky,32.38,15.09,فندق الماسة
