City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,64.0,1020,-46.19,168.86,Ellie's Villa
2,Grand Gaube,MU,73.99,1019,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
4,Cape Town,ZA,63.0,1013,-33.93,18.42,Southern Sun Waterfront Cape Town
7,Sao Joao Da Barra,BR,69.44,1021,-21.64,-41.05,Pousada Porto De Canoas
11,Palma,ES,69.8,1018,39.57,2.65,Hotel Saratoga
13,Vaini,TO,78.8,1016,-21.2,-175.2,Keleti Beach Resort
14,Hermanus,ZA,63.0,1014,-34.42,19.23,Misty Waves Boutique Hotel
15,Jamestown,US,60.8,1021,42.1,-79.24,Hampton Inn & Suites Jamestown
18,Arraial Do Cabo,BR,71.02,1021,-22.97,-42.03,Pousada Porto Praia
19,Imbituba,BR,69.8,1022,-28.24,-48.67,Praia Hotel Imbituba
22,Busselton,AU,63.0,1021,-33.65,115.33,Observatory Guest House
23,Avarua,CK,77.0,1013,-21.21,-159.78,Paradise Inn
27,Quatre Cocos,MU,73.99,1018,-20.21,57.76,Emeraude Beach Attitude Hotel
28,Russell,US,73.4,1019,32.35,-85.2,Macs
29,Rikitea,PF,74.64,1015,-23.12,-134.97,Pension Maro'i
31,Ponta Delgada,PT,60.8,1027,37.73,-25.67,Vila Nova Hotel
34,Paso De Los Toros,UY,63.21,1018,-32.82,-56.52,Complejo Isabelino
36,Port Elizabeth,ZA,66.2,1013,-33.92,25.57,39 On Nile Guest House
37,Bambous Virieux,MU,73.99,1018,-20.34,57.76,Casa Tia Villa
39,New Norfolk,AU,68.0,1006,-42.78,147.06,The Shingles Riverside Cottages
43,Zlitan,LY,65.1,1022,32.47,14.57,القسم الداخلي للجامعة الأسمرية
44,Hobart,AU,68.0,1007,-42.88,147.33,St Ives Hobart Accommodation Tasmania
48,East London,ZA,67.42,1015,-33.02,27.91,Tu Casa
50,Fiumicino,IT,60.8,1023,41.77,12.23,Al Porticciolo Hotel
51,Saint George,US,73.4,1011,37.1,-113.58,Best Western Plus Abbey Inn
55,Piraju,BR,64.9,1018,-23.19,-49.38,Hotel Beira Rio
56,Puerto Ayora,EC,68.0,1014,-0.74,-90.35,Finch Bay Galapagos Hotel
57,Bredasdorp,ZA,64.4,1014,-34.53,20.04,Bredasdorp Country Manor
65,Bluff,NZ,64.0,1020,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
67,Atuona,PF,78.44,1011,-9.8,-139.03,Villa Enata
69,Hirara,JP,69.8,1013,24.8,125.28,Hotel Atoll Emerald Miyakojima
73,Olean,US,60.8,1022,42.08,-78.43,Best Western Plus University Inn
76,La Spezia,IT,63.0,1020,44.11,9.84,Hotel NH La Spezia
80,Algeciras,ES,62.6,1020,36.13,-5.45,AC Hotel by Marriott Algeciras
83,Calvillo,MX,69.8,1022,21.85,-102.72,Hotel La Gloria de Calvillo
